,Latitude,Longitude,Dec 25
14,39.85,-105.16,0.0
15,39.79,-105.16,0.0
17,39.19,-106.84,16.0
20,39.75,-104.85,0.0
23,38.26,-104.35,0.0
25,39.38,-106.92,11.5
26,37.31,-107.61,14.5
27,37.31,-107.61,14.0
28,37.32,-107.6,14.0
29,37.34,-107.61,14.0
34,40.28,-105.16,0.0
35,38.05,-105.0,0.0
36,38.55,-107.69,8.0
37,39.04,-104.74,1.0
38,39.1,-104.64,1.0
41,38.19,-106.1,0.5
43,39.66,-102.12,0.0
44,39.99,-105.27,0.0
48,40.04,-105.28,0.0
49,39.99,-105.26,0.0
51,40.05,-105.28,0.0
52,39.99,-105.24,0.0
55,40.04,-105.29,0.0
56,39.99,-105.26,0.0
57,39.99,-105.26,0.0
62,40.0,-105.18,0.0
63,40.06,-105.17,0.0
64,40.63,-104.33,0.0
68,39.94,-105.08,0.0
69,39.88,-105.11,0.0
70,39.99,-105.05,0.0
76,38.82,-106.13,1.0
77,38.86,-106.21,3.0
78,39.31,-102.26,0.0
79,39.66,-105.71,9.0
80,37.01,-102.55,0.0
81,38.46,-105.23,0.0
85,39.46,-107.18,8.0
87,39.4,-107.11,6.5
88,39.43,-107.11,8.5
89,39.41,-104.91,0.0
94,39.61,-104.94,0.0
96,39.58,-105.08,0.0
97,39.22,-105.28,0.0
98,38.12,-103.51,0.0
99,37.04,-106.76,12.0
102,39.08,-108.44,1.0
103,39.37,-106.19,38.0
104,38.44,-106.76,3.0
105,39.24,-107.96,3.0
106,39.24,-107.98,2.0
109,38.86,-104.82,0.0
110,39.0,-104.72,0.7
111,39.03,-104.75,1.0
114,38.91,-104.85,0.0
118,38.82,-104.7,0.0
119,38.81,-104.69,0.0
120,39.51,-105.34,1.0
121,39.49,-105.35,0.5
123,39.47,-105.39,0.0
124,37.34,-108.6,0.0
126,37.32,-108.56,0.0
129,37.85,-106.93,6.0
130,37.83,-106.93,3.0
131,38.87,-106.98,33.0
133,38.96,-106.99,41.0
134,37.98,-105.69,1.0
135,37.98,-105.69,1.0
136,37.93,-105.65,0.5
137,38.8,-105.2,1.0
138,38.81,-105.23,0.5
144,37.68,-106.29,0.0
145,37.69,-106.31,0.0
147,39.73,-104.96,0.0
151,39.73,-104.95,0.0
160,39.7,-105.1,0.0
164,39.63,-105.05,0.0
166,39.85,-104.66,0.0
167,39.73,-105.01,0.0
168,39.77,-104.87,0.0
170,39.62,-106.03,10.0
171,39.6,-106.01,9.0
172,40.24,-109.01,7.0
173,38.96,-105.22,1.0
174,38.86,-105.18,0.5
177,40.41,-105.41,0.8
178,37.3,-107.89,6.2
180,37.25,-107.95,12.0
181,37.26,-107.79,8.0
182,37.16,-107.86,1.0
184,38.48,-102.78,0.0
188,39.16,-104.5,0.8
190,39.38,-104.63,0.0
191,39.28,-104.65,0.5
192,38.74,-104.4,0.0
193,39.67,-104.99,0.0
195,40.07,-105.03,0.0
198,40.35,-105.52,4.5
200,40.28,-105.37,1.0
201,40.33,-105.52,3.9
204,39.64,-105.32,1.0
205,39.65,-105.34,0.5
207,39.62,-105.31,1.0
210,39.58,-105.28,0.8
211,39.64,-105.41,1.5
212,39.61,-105.44,1.5
214,39.23,-106.05,7.0
216,40.58,-105.09,0.0
217,40.6,-105.12,0.0
218,40.6,-105.12,0.0
220,40.54,-105.12,0.0
223,40.57,-104.98,0.0
224,40.59,-104.93,0.0
225,40.37,-105.24,0.0
226,40.65,-102.86,0.0
230,40.58,-105.09,0.0
231,40.55,-105.07,0.0
232,40.57,-105.07,0.0
233,40.54,-105.05,0.0
235,40.54,-105.11,0.0
236,40.55,-105.13,0.0
237,40.5,-105.07,0.0
240,40.63,-105.06,0.0
242,37.23,-108.05,26.0
244,40.26,-103.87,0.0
247,39.37,-104.68,0.4
250,39.14,-108.73,0.0
253,38.69,-108.96,0.0
254,39.69,-105.29,0.5
255,39.71,-105.7,3.0
256,38.95,-109.05,3.0
258,39.05,-104.83,0.5
259,39.54,-107.33,2.0
260,39.57,-107.35,3.8
262,39.46,-107.32,4.3
264,39.88,-105.39,2.0
266,40.51,-106.01,17.0
273,39.09,-108.51,1.0
275,39.08,-108.62,0.0
278,39.04,-108.51,1.0
281,39.09,-108.47,1.0
283,39.1,-108.7,0.0
285,39.13,-108.54,1.2
287,40.27,-105.83,15.0
290,37.73,-105.51,0.0
291,40.43,-104.75,0.0
292,40.4,-104.75,0.0
293,40.4,-104.7,0.0
295,38.75,-105.62,2.4
297,38.55,-106.93,2.0
302,40.49,-107.25,12.0
303,37.75,-107.1,3.0
304,37.11,-108.14,1.0
305,37.18,-108.15,3.8
306,39.55,-104.97,0.0
307,39.53,-105.01,0.0
309,39.54,-104.91,0.0
310,38.05,-102.13,0.0
311,40.55,-102.34,0.0
312,40.58,-102.31,0.0
313,38.82,-107.8,0.0
314,38.81,-107.81,0.0
315,38.86,-107.83,0.5
316,40.2,-105.18,0.0
320,38.8,-104.84,0.0
323,38.06,-102.93,0.0
324,40.99,-102.27,0.0
329,37.12,-103.3,0.0
330,37.45,-103.32,0.0
332,38.76,-102.8,0.0
333,40.06,-106.37,10.0
336,37.79,-106.34,0.0
337,37.98,-103.54,0.0
339,37.75,-103.48,0.0
343,39.99,-105.11,0.0
344,39.99,-105.11,0.0
346,38.05,-107.3,6.0
347,39.02,-105.49,1.0
348,38.91,-105.47,1.0
349,39.75,-105.12,0.0
350,39.69,-105.14,0.0
351,39.68,-105.14,0.0
353,38.09,-102.63,0.0
354,38.06,-103.22,0.0
355,39.16,-106.28,5.0
356,37.38,-107.66,20.0
357,40.51,-102.99,0.0
358,39.76,-103.5,0.0
359,39.59,-105.01,0.0
362,39.54,-105.1,0.0
367,40.18,-105.08,0.0
368,40.17,-105.08,0.0
369,40.2,-105.11,0.0
370,40.2,-105.13,0.0
372,40.14,-105.16,0.0
374,40.39,-105.31,0.2
377,40.43,-105.12,0.0
378,40.44,-105.08,0.0
381,40.23,-105.27,0.0
383,40.29,-105.27,0.0
384,40.28,-105.36,0.8
385,37.17,-105.94,0.0
387,37.33,-108.32,2.0
388,37.38,-108.35,3.5
389,37.29,-108.19,9.5
391,39.62,-105.07,0.0
392,40.52,-108.09,4.0
393,40.04,-107.91,4.0
394,39.09,-108.12,12.0
395,37.2,-108.49,6.0
397,37.58,-106.19,0.0
