,Latitude,Longitude,Dec 25
113,42.07,-88.71,0.0
114,40.76,-89.48,0.0
115,40.88,-91.02,0.0
116,41.83,-88.06,0.0
120,41.25,-89.34,0.0
121,41.05,-88.04,0.0
122,42.2,-87.81,0.0
124,40.06,-87.96,0.0
125,41.61,-87.93,0.0
127,40.47,-87.69,0.0
128,40.46,-87.66,0.0
130,39.11,-87.67,0.0
131,41.43,-91.01,0.0
132,38.49,-88.97,0.0
133,39.71,-90.23,0.0
134,39.73,-90.2,0.0
135,39.1,-90.34,0.0
136,41.5,-88.1,0.0
137,41.14,-87.89,0.0
138,37.98,-89.95,0.0
139,41.24,-89.9,0.0
140,40.9,-90.29,0.0
142,41.82,-87.88,0.0
143,40.58,-90.97,0.0
146,41.02,-89.42,0.0
147,39.76,-89.6,0.0
150,41.54,-87.54,0.0
151,38.72,-87.72,0.0
152,40.15,-89.34,0.0
155,41.81,-88.07,0.0
161,40.48,-90.67,0.0
163,41.46,-87.91,0.0
168,38.73,-89.94,0.0
169,38.49,-89.8,0.0
170,39.47,-88.36,0.0
171,42.31,-88.25,0.0
173,39.16,-90.14,0.0
175,40.91,-89.03,0.0
179,41.45,-90.52,0.0
180,40.94,-90.64,0.0
181,40.94,-90.72,0.0
183,41.37,-88.43,0.0
186,41.33,-88.31,0.0
187,41.79,-89.97,0.0
188,40.6,-89.47,0.0
189,40.6,-89.47,0.0
190,38.45,-87.83,0.0
191,42.1,-89.98,0.0
192,42.19,-90.02,0.0
193,39.07,-89.73,0.0
195,40.01,-89.28,0.0
196,39.59,-89.02,0.0
197,39.07,-89.7,0.0
199,42.26,-88.08,0.0
202,39.32,-88.46,0.0
203,37.59,-88.74,0.0
205,41.52,-87.92,0.0
206,42.17,-89.13,0.0
207,38.99,-88.18,0.0
208,40.55,-88.95,0.0
210,41.62,-87.75,0.0
215,40.11,-87.96,0.0
218,38.7,-88.08,0.0
220,41.66,-88.34,0.0
225,42.11,-88.02,0.0
227,39.0,-87.61,0.0
229,39.37,-89.09,0.0
230,39.62,-87.67,0.0
231,41.49,-87.68,0.0
232,41.49,-87.7,0.0
235,41.67,-88.98,0.0
236,40.46,-88.14,0.0
239,40.75,-89.62,0.0
240,41.33,-87.79,0.0
241,41.33,-87.79,0.0
243,40.02,-89.83,0.0
245,40.01,-88.15,0.0
246,39.62,-90.8,0.0
247,41.57,-88.27,0.0
248,40.59,-90.46,0.0
249,41.37,-89.45,0.0
250,41.68,-89.94,0.0
251,39.9,-91.43,0.0
252,39.94,-91.2,0.0
253,39.15,-89.1,0.0
254,40.31,-88.16,0.0
255,38.18,-89.98,0.0
257,40.8,-89.19,0.0
258,39.01,-87.78,0.0
259,41.8,-89.64,0.0
260,41.52,-90.56,0.0
265,42.19,-89.09,0.0
266,41.6,-88.08,0.0
268,40.13,-90.56,0.0
269,38.64,-88.95,0.0
270,40.08,-88.25,0.0
271,42.03,-88.04,0.0
272,39.41,-88.77,0.0
274,39.97,-87.82,0.0
278,39.8,-89.68,0.0
279,39.85,-89.68,0.0
281,41.92,-88.3,0.0
282,41.98,-88.38,0.0
283,38.36,-89.71,0.0
285,38.0,-89.65,0.0
286,41.81,-89.02,0.0
287,42.4,-89.99,0.0
288,42.4,-89.99,0.0
291,41.09,-88.82,0.0
294,39.56,-88.61,0.0
296,39.52,-89.26,0.0
298,39.79,-88.29,0.0
300,40.09,-88.17,0.0
301,40.12,-88.16,0.0
302,41.56,-89.6,0.0
309,39.44,-90.38,0.0
311,39.45,-88.6,0.0
315,42.36,-88.53,0.0
4,41.71,-86.86,0.0
8,41.34,-85.42,0.0
9,39.57,-85.16,0.0
10,40.06,-85.69,0.0
12,40.11,-85.72,0.0
13,41.66,-85.02,0.0
14,41.7,-84.99,0.0
15,41.35,-85.3,0.0
20,40.67,-84.93,0.0
22,39.17,-86.52,0.0
23,40.73,-85.16,0.0
24,38.03,-87.27,0.0
25,39.39,-87.04,0.0
28,40.48,-86.4,0.0
30,38.76,-86.18,0.0
31,37.9,-86.71,0.0
33,40.0,-86.14,0.0
34,39.96,-86.06,0.0
35,39.88,-86.05,0.0
37,40.67,-86.96,0.0
41,41.15,-85.49,0.0
45,39.17,-85.92,0.0
47,40.0,-86.8,0.0
50,39.73,-86.54,0.0
52,40.85,-84.93,0.0
54,38.46,-86.7,0.0
55,41.51,-87.52,0.0
59,39.03,-86.94,0.0
60,38.87,-87.09,0.0
61,38.05,-87.51,0.0
62,39.24,-87.39,0.0
63,40.25,-85.15,0.0
64,40.55,-86.52,0.0
65,41.1,-85.11,0.0
67,41.12,-85.09,0.0
70,40.97,-85.21,0.0
71,40.98,-86.89,0.0
73,40.3,-86.51,0.0
74,39.49,-86.07,0.0
76,39.47,-86.04,0.0
79,41.34,-85.13,0.0
80,41.34,-85.12,0.0
85,41.56,-85.88,0.0
86,41.56,-85.88,0.0
87,41.75,-86.11,0.0
88,39.13,-87.64,0.0
89,39.79,-85.76,0.0
91,39.61,-86.16,0.0
92,39.61,-86.19,0.0
95,40.44,-85.29,0.0
98,41.51,-85.13,0.0
101,40.86,-85.5,0.0
102,40.88,-85.51,0.0
104,39.73,-86.16,0.0
105,39.85,-86.09,0.0
107,39.83,-86.32,0.0
108,39.73,-86.28,0.0
109,39.71,-86.28,0.0
114,38.31,-85.74,0.0
116,41.31,-86.63,0.0
117,40.46,-86.18,0.0
122,40.3,-86.9,0.0
124,41.53,-86.27,0.0
125,40.12,-85.9,0.0
126,41.61,-86.73,0.0
128,40.05,-86.57,0.0
129,41.33,-85.85,0.0
130,41.31,-85.72,0.0
133,40.75,-86.39,0.0
135,40.58,-85.66,0.0
136,39.4,-86.4,0.0
141,40.96,-87.48,0.0
142,39.65,-85.68,0.0
145,37.99,-87.72,0.0
146,40.18,-85.35,0.0
149,39.2,-85.32,0.0
151,41.71,-86.5,0.0
155,41.17,-86.76,0.0
156,40.99,-85.77,0.0
157,39.0,-85.6,0.0
158,41.36,-85.7,0.0
159,41.36,-85.7,0.0
160,38.89,-86.55,0.0
162,39.17,-85.24,0.0
163,40.87,-85.21,0.0
164,40.47,-87.06,0.0
165,38.44,-86.7,0.0
166,40.35,-87.53,0.0
168,40.07,-87.51,0.0
169,40.76,-86.07,0.0
172,41.34,-86.34,0.0
176,40.92,-87.18,0.0
177,40.86,-87.08,0.0
178,41.07,-86.21,0.0
179,41.09,-86.23,0.0
181,39.6,-85.45,0.0
183,38.1,-86.94,0.0
184,39.53,-85.79,0.0
186,38.55,-86.79,0.0
187,41.7,-86.25,0.0
188,41.62,-86.22,0.0
189,41.71,-86.32,0.0
190,39.71,-86.28,0.0
191,39.28,-86.77,0.0
192,39.22,-86.7,0.0
193,39.19,-86.78,0.0
194,41.45,-87.48,0.0
197,40.22,-86.11,0.0
200,41.49,-87.06,0.0
206,38.68,-87.46,0.0
209,40.79,-85.83,0.0
210,41.57,-85.99,0.0
212,41.44,-86.93,0.0
214,41.26,-85.87,0.0
216,41.21,-85.8,0.0
219,41.17,-85.92,0.0
220,38.65,-87.2,0.0
221,38.68,-87.19,0.0
222,40.46,-86.97,0.0
224,38.77,-86.68,0.0
225,41.03,-86.59,0.0
226,40.56,-86.34,0.0
0,38.39,-98.95,0.0
1,38.47,-99.55,0.0
2,38.87,-96.49,0.0
3,37.19,-95.29,0.0
4,37.15,-98.03,0.0
5,37.26,-97.77,0.0
6,37.06,-97.04,0.0
7,37.89,-98.18,0.0
8,37.19,-99.76,0.0
9,39.58,-95.11,0.0
10,39.8,-101.04,0.0
11,37.7,-96.97,0.0
13,39.19,-98.04,0.0
14,39.21,-98.18,0.0
15,37.05,-95.21,0.0
16,37.66,-96.54,0.0
17,37.39,-97.35,0.0
18,37.83,-99.65,0.0
20,39.46,-98.11,0.0
22,37.89,-97.48,0.0
25,37.08,-97.87,0.0
26,39.06,-94.9,0.0
27,39.37,-101.45,0.0
28,38.77,-97.86,0.0
29,37.54,-99.63,0.0
30,38.15,-99.53,0.0
31,38.8,-95.81,0.0
32,38.08,-96.89,0.0
33,37.04,-97.61,0.0
34,37.31,-96.66,0.0
35,37.03,-95.95,0.0
36,38.02,-96.6,0.0
38,38.8,-99.72,0.0
39,37.67,-95.38,0.0
40,37.02,-96.18,0.0
41,37.72,-97.79,0.0
42,37.81,-100.35,0.0
45,37.06,-95.64,0.0
47,39.39,-101.07,0.0
48,37.27,-99.33,0.0
49,38.9,-100.11,0.0
50,37.18,-94.84,0.0
51,39.56,-97.67,0.0
53,37.36,-97.69,0.0
54,38.37,-96.55,0.0
55,38.97,-97.76,0.0
56,39.67,-99.73,0.0
57,37.58,-97.26,0.0
58,37.78,-100.05,0.0
59,37.76,-99.97,0.0
60,37.77,-99.97,0.0
61,37.82,-96.84,0.0
62,38.06,-97.12,0.0
63,37.01,-101.89,0.0
64,38.37,-98.58,0.0
65,38.95,-99.56,0.0
66,38.39,-96.62,0.0
67,38.43,-96.22,0.0
68,37.57,-95.25,0.0
70,37.83,-96.26,0.0
72,37.53,-95.83,0.0
73,38.64,-98.87,0.0
74,37.49,-95.35,0.0
76,38.28,-95.22,0.0
77,38.54,-98.16,0.0
80,38.27,-97.39,0.0
81,39.35,-101.7,0.0
82,39.37,-101.69,0.0
83,39.37,-101.7,0.0
84,39.11,-100.46,0.0
86,38.36,-98.83,0.0
87,37.36,-96.45,0.0
89,39.88,-97.31,0.0
90,37.22,-96.05,0.0
92,38.86,-99.34,0.0
94,37.52,-97.31,0.0
95,38.6,-100.62,0.0
96,38.67,-96.95,0.0
99,38.14,-97.42,0.0
100,39.36,-99.83,0.0
103,37.47,-96.27,0.0
105,38.1,-98.66,0.0
106,37.81,-95.45,0.0
107,38.09,-97.91,0.0
108,37.93,-98.03,0.0
109,37.24,-95.7,0.0
110,38.19,-97.84,0.0
111,37.92,-95.42,0.0
112,39.66,-98.35,0.0
113,38.2,-99.92,0.0
114,38.06,-100.3,0.0
115,38.61,-97.96,0.0
116,37.65,-98.12,0.0
117,37.02,-98.49,0.0
119,38.97,-95.28,0.0
120,38.95,-95.23,0.0
121,38.97,-95.3,0.0
124,39.81,-98.56,0.0
125,39.61,-100.0,0.0
126,38.49,-101.37,0.0
127,37.03,-100.91,0.0
128,39.03,-98.13,0.0
129,38.49,-96.96,0.0
130,38.59,-97.61,0.0
131,37.38,-96.08,0.0
132,39.09,-98.64,0.0
133,38.14,-96.14,0.0
135,39.2,-96.58,0.0
136,38.38,-97.08,0.0
137,39.84,-96.64,0.0
138,39.05,-96.24,0.0
139,38.33,-97.78,0.0
140,38.59,-99.57,0.0
141,38.38,-97.61,0.0
142,37.28,-100.35,0.0
143,37.43,-100.49,0.0
145,37.28,-98.55,0.0
146,38.5,-95.7,0.0
148,39.35,-97.45,0.0
149,39.28,-100.84,0.0
151,37.59,-100.44,0.0
152,37.91,-95.17,0.0
153,37.19,-95.45,0.0
154,37.87,-97.66,0.0
155,37.45,-95.65,0.0
156,38.02,-97.36,0.0
157,39.81,-100.24,0.0
158,39.81,-100.24,0.0
159,39.77,-100.18,0.0
160,39.84,-99.89,0.0
161,39.82,-99.9,0.0
163,39.11,-100.94,0.0
164,37.82,-99.55,0.0
165,38.64,-95.8,0.0
166,37.18,-95.1,0.0
167,38.87,-94.69,0.0
168,38.95,-94.71,0.0
169,37.27,-97.17,0.0
171,37.37,-95.29,0.0
172,37.42,-97.4,0.0
174,39.74,-99.22,0.0
175,39.24,-99.38,0.0
176,37.79,-98.03,0.0
177,39.07,-100.24,0.0
178,38.65,-99.9,0.0
179,37.23,-101.95,0.0
181,37.42,-97.05,0.0
182,37.82,-96.64,0.0
183,38.87,-98.71,0.0
184,38.96,-101.17,0.0
185,39.77,-101.81,0.0
186,38.83,-97.59,0.0
187,38.47,-100.92,0.0
188,38.72,-95.64,0.0
189,37.13,-96.18,0.0
190,39.67,-100.69,0.0
192,38.9,-101.75,0.0
193,37.53,-96.88,0.0
194,39.78,-98.78,0.0
196,38.21,-98.21,0.0
199,37.38,-98.92,0.0
200,37.28,-98.93,0.0
201,39.03,-98.38,0.0
202,37.99,-101.74,0.0
203,38.43,-96.56,0.0
204,37.97,-96.3,0.0
205,39.07,-95.63,0.0
206,39.02,-95.75,0.0
207,39.07,-95.63,0.0
208,38.66,-101.7,0.0
209,38.47,-101.77,0.0
211,37.6,-101.29,0.0
212,37.6,-101.29,0.0
213,38.64,-100.17,0.0
216,38.91,-101.59,0.0
218,39.21,-96.37,0.0
221,37.27,-97.42,0.0
223,37.65,-97.43,0.0
224,37.66,-97.44,0.0
225,37.5,-98.31,0.0
226,38.97,-98.49,0.0
227,38.29,-97.91,0.0
228,37.29,-96.94,0.0
229,39.06,-101.24,0.0
230,38.11,-96.73,0.0
231,37.88,-95.73,0.0
232,37.43,-98.28,0.0
0,37.23,-86.69,0.0
1,38.62,-84.59,0.0
2,38.45,-82.61,0.0
3,38.77,-84.01,0.0
4,36.88,-83.88,0.0
5,36.9,-86.12,0.0
6,37.63,-83.72,0.0
8,37.0,-86.43,0.0
9,36.96,-86.42,0.0
10,36.95,-86.37,0.0
11,37.34,-83.47,0.0
16,38.12,-83.53,0.0
17,39.04,-84.67,0.0
18,37.86,-83.92,0.0
19,37.79,-86.23,0.0
20,37.49,-84.44,0.0
21,37.83,-84.03,0.0
22,37.09,-87.5,0.0
23,38.38,-84.3,0.0
24,37.39,-82.26,0.0
26,38.04,-85.72,0.0
28,38.22,-84.82,0.0
29,38.22,-84.83,0.0
30,38.23,-84.55,0.0
31,38.78,-84.89,0.0
32,38.65,-82.86,0.0
36,37.87,-82.52,0.0
37,37.59,-83.31,0.0
38,37.01,-85.06,0.0
39,37.02,-85.7,0.0
44,38.03,-84.61,0.0
45,38.18,-85.73,0.0
46,38.12,-85.64,0.0
48,36.79,-88.66,0.0
49,38.06,-83.93,0.0
51,38.47,-85.12,0.0
53,38.34,-83.1,0.0
56,37.06,-88.77,0.0
57,37.82,-82.79,0.0
60,37.66,-82.83,0.0
61,37.4,-87.76,0.0
63,38.53,-83.52,0.0
64,37.62,-86.5,0.0
65,37.74,-83.07,0.0
66,36.75,-86.23,0.0
67,38.05,-85.62,0.0
68,37.09,-82.99,0.0
70,37.86,-83.9,0.0
71,38.01,-85.37,0.0
72,38.0,-85.31,0.0
73,38.49,-83.02,0.0
74,37.07,-88.77,0.0
76,37.1,-82.8,0.0
77,39.03,-84.48,0.0
0,31.32,-92.46,0.0
2,32.55,-92.92,0.0
3,31.39,-92.72,0.0
5,29.95,-89.99,0.0
6,32.17,-92.11,0.0
7,31.93,-93.31,0.0
8,32.81,-93.06,0.0
9,32.35,-93.2,0.0
10,31.68,-92.13,0.0
11,32.35,-93.86,0.0
12,29.79,-92.2,0.0
13,31.51,-93.62,0.0
14,32.52,-92.03,0.0
15,32.71,-93.96,0.0
16,31.81,-93.09,0.0
17,30.97,-91.1,0.0
18,32.89,-93.64,0.0
19,32.42,-93.64,0.0
20,32.36,-93.14,0.0
21,32.45,-93.82,0.0
22,32.38,-93.8,0.0
23,32.45,-93.84,0.0
24,32.35,-91.03,0.0
25,31.2,-93.57,0.0
26,31.66,-93.66,0.0
1,42.1,-70.93,0.0
3,42.05,-72.62,2.0
6,42.39,-72.54,1.0
7,42.66,-71.13,0.0
9,42.62,-71.92,0.0
10,42.66,-71.94,0.0
13,42.17,-71.87,0.5
15,41.71,-70.29,0.0
16,42.44,-72.1,0.5
17,42.43,-72.03,0.0
21,42.59,-70.84,0.0
22,42.63,-72.12,0.0
23,42.21,-71.11,0.0
24,42.64,-70.98,0.0
25,41.95,-70.96,0.0
28,42.59,-72.75,1.0
29,42.12,-71.91,0.0
34,42.56,-73.16,2.0
36,42.51,-72.7,1.0
37,42.54,-72.73,1.0
38,42.57,-70.94,0.0
39,42.61,-70.94,0.0
40,41.81,-71.14,0.5
44,42.11,-72.13,0.0
45,41.58,-70.57,0.5
47,41.57,-70.53,0.0
48,42.57,-72.87,2.0
50,41.71,-70.47,0.0
52,41.39,-70.52,0.0
55,41.55,-70.55,0.5
56,41.59,-70.63,0.5
61,42.33,-71.43,0.1
65,42.57,-72.6,1.0
66,42.75,-71.04,0.0
68,42.08,-72.45,1.2
69,42.59,-73.3,0.5
73,42.23,-70.91,0.0
78,42.4,-71.59,0.5
79,41.66,-70.3,0.0
80,41.66,-70.31,0.0
81,42.3,-71.12,0.0
82,42.02,-70.77,0.0
86,42.24,-71.95,0.8
87,42.34,-73.25,1.0
88,42.45,-72.53,1.0
94,42.5,-70.86,0.0
97,41.64,-70.52,0.0
98,41.58,-70.49,0.2
99,42.42,-71.44,0.2
100,42.42,-71.13,0.0
101,42.46,-71.05,0.0
103,42.59,-71.02,0.0
104,42.58,-71.03,0.1
105,42.16,-71.51,1.0
106,42.15,-71.38,0.2
109,42.46,-72.34,0.4
115,42.32,-72.67,0.5
123,41.79,-69.98,0.0
124,41.75,-69.99,0.0
133,41.78,-70.92,0.0
135,42.74,-72.87,1.0
136,41.77,-70.49,0.0
139,41.74,-71.16,1.0
140,41.71,-70.16,0.0
142,42.48,-71.81,0.7
143,42.29,-73.32,1.5
145,42.36,-71.47,0.2
146,42.44,-72.55,1.0
147,42.45,-72.57,0.5
149,42.57,-71.2,0.0
150,42.64,-72.22,0.0
152,41.45,-70.6,0.0
153,41.44,-70.63,0.3
155,42.16,-71.25,0.0
157,42.2,-72.24,0.5
164,42.11,-72.72,2.0
168,42.55,-71.91,0.5
170,42.39,-72.74,1.5
172,42.45,-71.14,0.0
173,42.25,-71.79,0.5
0,39.47,-76.17,0.0
1,39.17,-76.68,0.0
3,39.03,-76.93,0.0
6,39.22,-77.27,0.0
7,39.25,-77.24,0.0
11,39.66,-76.18,0.0
12,39.58,-78.85,0.0
14,39.64,-78.76,0.0
15,39.35,-76.65,0.0
16,39.26,-77.23,0.0
19,39.68,-77.28,0.0
21,39.64,-77.7,0.0
22,39.64,-77.7,0.0
25,39.45,-76.39,0.0
27,39.72,-76.8,0.0
28,39.19,-77.18,0.0
31,39.7,-76.54,0.0
35,39.08,-76.69,0.0
37,38.55,-76.62,0.0
39,39.47,-76.83,0.0
42,38.41,-75.59,0.0
43,38.34,-75.51,0.0
49,38.23,-75.38,0.0
50,38.97,-76.34,0.0
53,39.67,-77.4,0.0
55,39.53,-77.02,0.0
2,44.11,-70.26,2.0
4,44.8,-68.82,3.1
5,43.93,-69.86,2.0
8,44.32,-70.76,7.0
9,43.49,-70.43,4.0
11,45.07,-69.7,6.0
13,43.64,-70.58,3.0
14,43.22,-70.64,2.0
15,46.87,-68.02,7.9
17,44.92,-69.24,3.0
18,43.78,-70.7,4.0
20,45.19,-69.18,8.0
22,44.0,-70.1,3.0
24,45.14,-69.28,6.0
25,44.49,-68.46,0.5
29,44.73,-70.18,8.5
30,47.24,-68.61,8.0
32,43.88,-70.05,2.5
34,43.89,-70.25,3.0
35,43.9,-70.31,4.0
36,43.85,-70.31,3.0
37,44.95,-69.55,2.0
42,43.65,-70.67,3.0
44,45.63,-70.25,3.0
45,43.39,-70.58,4.0
47,44.96,-70.18,9.0
48,43.08,-70.71,0.0
49,45.38,-68.51,6.0
52,44.47,-70.16,4.0
55,44.94,-68.64,3.0
56,45.64,-68.67,5.0
58,43.92,-70.26,4.0
59,44.64,-70.0,4.0
60,44.67,-70.03,6.0
61,47.01,-68.14,11.0
62,44.03,-69.57,1.5
66,44.89,-68.67,3.0
68,44.1,-70.6,4.0
70,44.87,-69.42,3.0
73,44.82,-70.39,9.0
76,43.7,-70.31,4.0
77,43.64,-70.3,3.1
78,43.85,-70.17,2.0
79,46.68,-68.01,7.0
80,44.56,-68.92,1.0
81,44.97,-70.64,8.0
82,44.99,-70.67,10.0
83,44.42,-69.95,3.2
84,45.09,-67.12,1.0
85,44.13,-69.1,0.0
87,44.49,-70.66,4.0
88,44.38,-69.26,2.0
90,43.61,-70.29,3.0
94,44.68,-70.26,6.5
95,45.44,-67.72,3.0
97,44.28,-70.26,3.0
98,44.24,-69.27,1.5
99,44.24,-69.32,2.5
100,44.21,-69.34,0.5
101,47.17,-67.94,10.0
102,44.11,-69.37,1.0
103,44.53,-69.65,2.0
105,43.74,-70.36,3.0
106,44.78,-67.22,0.5
107,43.86,-70.47,2.7
109,44.69,-68.85,2.0
110,44.31,-69.97,3.0
0,42.95,-85.48,0.0
1,41.92,-84.02,0.0
4,42.62,-82.54,0.0
6,43.39,-84.65,0.0
11,46.23,-88.45,6.0
14,42.26,-83.87,0.0
15,42.24,-83.69,0.0
16,42.3,-83.66,0.0
19,43.63,-84.02,0.0
20,43.81,-82.99,0.0
23,42.37,-85.26,0.0
25,43.81,-83.4,0.0
27,42.12,-86.43,0.0
29,46.59,-89.55,6.0
31,46.83,-87.75,5.0
34,43.71,-85.48,0.0
35,45.17,-84.91,0.0
37,41.82,-86.34,0.0
38,43.07,-83.59,0.0
39,44.21,-85.41,0.0
42,47.23,-88.46,9.0
43,42.35,-83.47,0.0
45,46.32,-87.2,2.2
46,43.48,-83.39,0.0
47,43.59,-83.18,0.0
49,45.32,-85.27,3.0
53,45.65,-84.47,1.0
54,42.33,-84.01,0.0
55,42.36,-83.99,0.0
56,43.19,-84.11,0.0
58,46.5,-87.85,8.0
61,41.96,-84.99,0.0
64,43.08,-83.55,0.0
66,42.32,-83.24,0.0
68,42.35,-83.17,0.0
69,46.0,-83.9,0.0
70,42.23,-83.33,0.0
72,41.99,-86.13,0.0
75,42.93,-84.1,0.0
76,42.93,-83.99,0.0
77,42.94,-85.61,0.0
80,44.28,-83.5,0.0
82,42.52,-84.65,0.0
83,42.76,-84.59,0.0
87,45.74,-87.04,0.0
88,42.47,-83.36,0.0
91,42.77,-83.83,0.0
92,43.15,-85.01,0.0
93,44.58,-85.37,0.0
94,43.92,-83.08,0.0
96,42.97,-83.75,0.0
97,43.32,-83.72,0.0
100,43.45,-86.03,0.0
101,45.9,-86.55,3.0
102,45.03,-84.71,0.0
103,44.96,-84.68,2.0
105,45.83,-87.06,4.0
106,45.84,-87.04,6.0
107,43.98,-84.49,1.0
109,44.54,-83.7,0.0
111,42.92,-83.51,0.0
114,42.76,-84.76,0.0
119,42.88,-85.52,0.0
121,42.9,-85.78,0.0
124,46.45,-87.3,2.0
125,46.87,-89.1,7.0
126,42.41,-82.89,0.0
127,44.46,-83.72,0.0
129,42.11,-84.63,0.0
131,43.83,-82.64,0.0
132,45.43,-84.98,1.0
134,43.68,-86.42,0.0
136,42.77,-84.4,0.0
137,42.64,-85.29,0.0
138,46.67,-88.38,13.0
140,41.94,-84.64,0.0
142,42.82,-86.07,0.0
146,44.31,-84.89,0.0
147,44.36,-84.67,0.0
148,45.79,-88.08,6.0
149,46.47,-90.19,3.0
150,46.47,-90.14,2.0
151,46.54,-87.77,5.0
152,46.41,-87.76,7.0
154,42.24,-84.47,0.0
155,47.01,-88.43,4.0
156,42.01,-84.56,0.0
157,46.33,-87.38,5.0
159,44.73,-85.17,0.0
161,43.2,-85.77,0.0
163,42.92,-84.37,0.0
164,42.84,-84.42,0.0
165,44.31,-85.21,2.0
167,42.71,-84.53,0.0
168,42.78,-84.6,0.0
169,43.06,-83.36,0.0
170,43.06,-83.31,0.0
171,43.26,-82.53,0.0
172,42.81,-83.8,0.0
173,42.05,-84.75,0.0
175,42.43,-83.38,0.0
181,42.15,-84.02,0.0
182,45.96,-86.2,2.0
183,45.99,-86.28,8.5
184,45.95,-86.25,2.0
185,44.85,-85.84,0.0
186,46.55,-87.38,0.0
187,46.53,-87.55,5.1
188,42.61,-84.34,0.0
190,46.55,-88.18,5.0
191,43.61,-84.2,0.0
192,43.64,-84.22,0.0
193,43.28,-83.48,0.0
194,44.65,-84.12,0.0
197,41.72,-84.21,0.0
198,42.61,-82.82,0.0
199,46.41,-86.66,13.0
200,46.28,-86.76,11.5
201,43.18,-86.24,0.0
202,43.17,-86.24,0.0
204,42.68,-82.74,0.0
206,41.84,-86.27,0.0
208,45.13,-85.65,0.0
209,44.88,-85.68,0.0
210,42.89,-85.54,0.0
216,41.78,-83.74,0.0
217,43.02,-84.18,0.0
218,46.6,-85.04,11.0
219,46.4,-89.18,4.0
220,42.24,-85.86,0.0
224,42.44,-85.65,0.0
225,42.45,-85.54,0.0
228,42.64,-83.26,0.0
229,44.05,-82.97,2.0
230,42.97,-82.42,0.0
231,43.0,-82.46,0.0
232,47.14,-88.58,12.0
233,45.87,-86.95,6.0
234,42.88,-82.8,0.0
239,43.41,-83.96,0.0
241,43.5,-84.1,0.0
242,43.53,-84.08,0.0
245,42.13,-83.81,0.0
246,42.12,-83.82,0.0
247,42.96,-85.17,0.0
248,46.49,-84.41,8.0
249,46.48,-84.36,7.1
250,46.49,-84.32,5.0
251,43.93,-86.25,0.0
252,42.67,-83.03,0.0
254,45.69,-85.55,2.0
256,46.06,-88.63,3.0
257,44.01,-83.9,2.0
258,46.19,-86.46,12.0
259,41.99,-86.51,0.0
260,46.6,-85.22,10.0
261,42.0,-83.93,0.0
262,46.56,-88.21,13.5
263,41.93,-85.64,0.0
267,44.73,-85.51,0.0
272,43.37,-83.58,0.0
273,42.69,-83.41,0.0
274,46.22,-89.41,1.0
276,46.53,-88.64,5.0
278,44.26,-85.94,0.0
280,44.25,-84.2,0.0
281,42.28,-85.61,0.0
282,43.61,-85.64,0.0
283,42.69,-83.55,0.0
284,42.7,-83.47,0.0
286,42.66,-84.22,0.0
288,42.21,-83.16,0.0
10,45.39,-96.13,1.0
13,43.65,-92.97,0.0
14,47.71,-91.95,4.0
22,47.52,-94.72,5.5
25,48.2,-93.8,4.0
26,45.41,-93.69,1.0
28,44.66,-94.85,0.0
31,43.62,-94.09,0.0
35,45.71,-93.18,1.0
36,46.34,-94.21,3.0
38,46.25,-94.15,3.0
39,46.3,-96.52,5.0
40,43.54,-93.84,0.0
41,47.25,-91.86,5.0
45,45.6,-96.83,4.0
46,44.73,-94.34,0.0
47,46.3,-92.53,2.0
50,43.63,-91.5,0.0
55,44.72,-96.27,0.0
56,44.51,-92.9,0.0
58,44.76,-93.64,0.0
60,47.38,-94.61,6.0
61,47.87,-93.03,5.0
64,44.85,-93.56,0.0
65,47.49,-92.89,7.0
67,46.71,-92.52,5.0
68,46.74,-92.43,1.5
70,47.34,-93.7,5.0
72,45.58,-94.39,5.0
74,47.89,-92.53,5.0
77,44.84,-92.94,0.0
78,47.17,-92.46,4.0
79,47.15,-92.36,3.0
80,46.48,-93.97,3.5
81,45.08,-94.32,0.0
83,44.93,-96.04,0.0
85,47.34,-93.88,9.0
87,46.89,-95.84,3.0
88,45.72,-96.06,2.5
89,46.77,-92.09,0.5
95,46.84,-92.19,1.2
96,46.84,-92.21,1.0
102,44.88,-93.38,0.0
104,44.1,-92.27,0.0
108,47.91,-91.83,6.0
109,47.97,-91.45,5.0
110,47.64,-92.23,3.0
112,47.46,-92.53,4.0
115,43.65,-94.45,0.0
120,46.97,-92.87,4.0
122,47.08,-96.78,4.0
126,47.75,-90.33,6.0
127,47.75,-90.44,8.5
129,43.7,-92.56,0.0
130,47.97,-89.69,8.0
131,47.31,-93.55,4.5
133,47.24,-93.5,6.0
135,48.16,-90.88,5.0
138,44.74,-92.88,0.0
144,43.53,-96.36,1.0
147,43.8,-91.43,0.0
151,44.97,-94.36,0.0
153,48.56,-93.4,5.9
154,44.81,-93.06,0.5
155,47.46,-92.63,3.5
157,45.43,-93.3,0.5
158,46.32,-93.5,3.0
161,44.65,-93.64,0.0
165,45.35,-94.31,1.0
166,43.87,-91.31,0.0
167,48.72,-96.62,3.0
168,44.44,-92.28,0.0
171,46.8,-96.12,5.0
173,44.0,-95.95,0.0
176,44.24,-95.32,1.0
179,47.25,-94.22,5.0
183,45.97,-94.38,2.0
184,46.07,-94.25,2.0
185,44.98,-93.57,0.0
186,45.96,-94.89,4.0
187,46.01,-94.85,2.5
